visit_rank,club_name,club_number,city,country,verified_schedule_local,montreal_time,next_meeting,meets_this_week,online_guest,join_link,how_to_get_link,rsvp_required,contact,physical_address,caveats,source_verified
13,NDG Leaders Toastmasters,632838,Montreal QC,Canada,"Every Thu 19:00-21:00 ET, in person; last Thu of month online",Thu 19:00-21:00 ET,Thu 2026-09-10 IN PERSON; next online Thu 09-24,yes (in person),only on 09-24,https://zoom.us/j/99377961150 (online weeks only),"Link is the ""contact us"" target on https://www.ndgleaderstoastmasters.com/ ; email to confirm",no; arrive 5 min early,ndgleaderstoastmaster@gmail.com ; Pres. 438-860-1682,"St Thomas Anglican Church, 4810 Rosedale, H4V 2H2",In-person this week.,club site
14,Jacaranda Chinese English Toastmasters,28678155,Harare,Zimbabwe,"2nd & 4th Fri + Sat 14:00-16:00 CAT, in person",Fri/Sat 08:00-10:00 ET,Fri 2026-09-11 and Sat 2026-09-12,yes (in person only),not published,none,Contact Club form https://www.toastmasters.org/Find-a-Club/28678155,n/a,+263 77 388 1881,"Fri: BancABC Mt Pleasant; Sat: La Reunion Cafe, 15 Duthie Rd, Belgravia",CONFIRMED USER but no online option found. Very new club (chartered 2025-09).,toastmasters.org
15,Malabar Toastmasters Club,28676179,Kozhikode Kerala,India,"Every Sun 10:30-12:30 IST, in person",Sun 01:00-03:00 ET,Sun 2026-09-13,yes (in person only),not published,none,Contact Club form https://www.toastmasters.org/Find-a-Club/28676179-malabar-toastmasters-club/contact-club?id=dc800577-e2dd-ed11-a7c7-6045bd038732 ; IG @malabartoastmastersclub,n/a,+91 98954 55058,"Zadokz, Mavoor Road, Kozhikode","CONFIRMED USER. 01:00 ET, in person - not realistic remotely.",toastmasters.org
16,Beyond Words Advanced Toastmasters,5468876,Montreal QC,Canada,"1st & 3rd Sat, join 09:15 for 09:30-11:30 ET, online",Sat 09:30-11:30 ET,Sat 2026-09-19,no,"yes, no RSVP stated","https://us02web.zoom.us/j/85286267334 (ID 852 8626 7334, no password)",Published on https://beyondwords.club/,no,https://beyondwords.club/contact-us/,online only,Advanced club - members are officers elsewhere.,club site
17,Club avance international,684093,Montreal QC (QC/FR/CH members),Canada,Every other Sat; site shows 13h-15h UTC = 09:00-11:00 EDT (CONFLICTS with 14:00 ET hint),Sat 09:00-11:00 ET (confirm),"Sat 2026-09-19 (speech contest), then 10-03, 10-17",no,yes,https://us02web.zoom.us/j/785098240?pwd=Tk1EeWhKZk5kcXl0M0tZcnVSK3Evdz09,Published on https://www.clubavanceinternationaltm.com/rencontres,"requested: email with subject ""Presence a la rencontre du Samedi 19 septembre 2026""",info@clubavanceinternationaltm.com ; WhatsApp +1 514-299-7539,online only,French advanced club. Confirm time before attending.,club site + toastmasters.org
18,Toastmasters Unlimited,1379,Overland Park KS,USA,"2nd & 4th Mon 19:00 CT, hybrid",Mon 20:00 ET,Mon 2026-09-14,no,"yes, online attendance allowed",not published,Contact Us form on https://1379.toastmastersclubs.org/ sends Zoom info,yes (form),war.sprint@gmail.com ; +1 913-770-6398,"Denny's, 10480 Metcalf Ave, Overland Park KS",Club site unreachable from research tools.,toastmasters.org
19,Aloha Toastmasters,601,Honolulu HI,USA,"1st & 3rd Tue 18:30-19:45 HST, Zoom only",Wed 00:30-01:45 ET (Tue night),Tue 2026-09-15 (= Wed 09-16 00:30 ET),no,yes,not published,Contact Us on https://aloha.toastmastersclubs.org/ ; TI form https://www.toastmasters.org/Find-a-Club/00000601-aloha-toastmasters/contact-club?id=1c813e9a-8cd7-ec11-a2fd-005056875f20,yes (contact to get link),+1 808-773-5846 ; FB https://www.facebook.com/AlohaToastmasters,online only,00:30 ET.,toastmasters.org
20,PoWerCommunicators,7235882,Moka (PwC),Mauritius,"1st & 3rd Wed 18:00 MUT, hybrid",Wed 10:00 ET,Wed 2026-09-16,no,"allowed per listing; PwC-hosted, expect gatekeeping",not published,Contact Club form https://www.toastmasters.org/Find-a-Club/07235882-powercommunicators-toastmasters-club,yes,yamini.rangasamy@gmail.com ; +230 5753 4691,"PwC Centre, Avenue de Telfair, Moka",Corporate venue.,toastmasters.org
21,Articulators Club,9953,Overland Park KS (T-Mobile HQ),USA,"1st & 3rd Thu 12:00 CT, hybrid via WEBEX",Thu 13:00 ET,Thu 2026-09-17,no,"yes (Webex, not Zoom)",not published,Email officers-9953@toastmastersclubs.org for meeting info,yes,officers-9953@toastmastersclubs.org ; +1 214-991-6352,T-Mobile HQ Bldg 6360 Rm 1C272,Webex. Corporate-hosted.,toastmasters.org
22,Plateau Toastmasters Club,592015,Moka,Mauritius,"1st & 3rd Fri 18:00 MUT, Voila Hotel + online",Fri 10:00 ET,Fri 2026-09-18,no,"yes, online attendance allowed",not published,Contact Club form https://www.toastmasters.org/Find-a-Club/00592015-plateau-toastmasters-club ; FB https://www.facebook.com/toastmastersplateau/,yes,contact@plateautoastmasters.club (domain dead - may bounce) ; +230 5741 3092,"Voila Hotel, Moka",Website dead. Email domain likely dead too - use contact form/FB.,toastmasters.org
23,Mons Toastmasters Club,,Mons,Belgium,1st Tue 19:00 online + ~4th Fri 19:00-21:00 hybrid CEST (cadence loose per Meetup),13:00-15:00 ET,Fri 2026-09-18 hybrid; next online-only Tue 2026-10-06,no,"yes, guests always welcome","https://us02web.zoom.us/j/5478691748?pwd=T1ExOHdjaGpZMFB4cHpEMEdTL3VHdz09 (ID 547 869 1748, passcode SHAPE)",Published on Meetup https://www.meetup.com/mons-toastmasters-club/,no (Meetup RSVP optional),mons.toastmasters.club@gmail.com,"Le Cercle du Dragon, Mons",Not on toastmasters.org - young club sharing SHAPE International TM Zoom room.,toastmasters.be + Meetup
24,Club Excellence Toastmasters,7701,Saint-Laurent QC,Canada,"1st & 3rd Sat 09:00 ET, hybrid",Sat 09:00 ET,Sat 2026-09-19,no,"yes per listing, link on request",not published,TI message form https://www.toastmasters.org/Find-a-Club/00007701 ; FB https://www.facebook.com/TI7701/,yes,VPM Christian Schweiger 450-667-0002 ; +1 514-778-7933,"3700 Griffith, St-Laurent, H4T 2B3",Club site unreachable.,toastmasters.org
25,ACE Speakers,7335249,Moka,Mauritius,"1st & 3rd Sat 11:00-13:00 MUT, hybrid",Sat 03:00-05:00 ET,Sat 2026-09-19,no,"allowed, but 03:00 ET",not published,Contact Club form https://www.toastmasters.org/Find-a-Club/07335249,yes,karuna.rootzconsult@gmail.com ; acespeakerstm@gmail.com ; +230 5252 4841,"Royal Green, Moka",acespeakers.com is parked. 03:00 ET impractical.,toastmasters.org
26,Sapphire City Toastmasters,00009256,Inverell NSW,Australia,"1st & 3rd Mon 18:45 AEST, in person",Mon 04:45 ET,Mon 2026-09-21 (09-07 already passed),passed,not published,none,Contact Club form https://www.toastmasters.org/Find-a-Club/00009256,n/a,+61 419 380 059,"Lyon Legal Services, 144 Byron St, Inverell","CONFIRMED USER but in person, 04:45 ET. Not realistic remotely.",toastmasters.org
